Time (sec),AH1 (g),AH2 (g),AH3 (g),AH4 (g),AH5 (g),AH6 (g),AH7 (g),AH8 (g),AH9 (g),AH10 (g),AH11 (g),AH12 (g),AV1 (g),AV2 (g),P1 (kpa),P2 (kpa),P3 (kpa),P4 (kpa),P5 (kpa),P6 (kpa),P7 (kpa),P8 (kpa),P9 (kpa),P10 (kpa),
0.1267,-0.0005,-0.0010,-0.0006,-0.0012,-0.0017,-0.0011,-0.0016,-0.0006,-0.0009,-0.0003,-0.0007,-0.0007,0.0009,-0.0003,2.6824,-0.7439,2.5887,0.3607,-1.7214,-0.0823,-0.1344,0.0840,-1.3970,0.5586
0.1333,-0.0004,-0.0007,-0.0002,-0.0004,-0.0013,-0.0008,-0.0012,-0.0008,-0.0007,-0.0004,-0.0007,-0.0009,0.0004,-0.0006,2.7077,0.6658,2.5476,0.6800,-1.9073,0.0028,-0.5663,-0.0531,-1.2885,0.4607
0.1400,-0.0001,-0.0003,-0.0002,0.0003,-0.0011,-0.0007,-0.0007,-0.0010,-0.0008,-0.0008,-0.0009,-0.0010,-0.0005,-0.0006,2.2680,1.5003,2.3900,0.8931,-1.9532,0.0488,-0.7419,-0.0918,-0.9052,0.3147
0.1467,-0.0000,-0.0001,-0.0001,0.0006,-0.0012,-0.0009,-0.0003,-0.0011,-0.0011,-0.0011,-0.0012,-0.0009,-0.0014,-0.0005,1.4279,1.3578,2.1317,0.8120,-1.3543,0.0049,-0.5137,-0.0164,-0.3870,0.3654
0.1533,-0.0002,-0.0003,-0.0000,0.0002,-0.0013,-0.0013,0.0000,-0.0009,-0.0012,-0.0010,-0.0014,-0.0008,-0.0015,-0.0005,0.1346,0.6286,1.7590,0.3020,0.0348,-0.0963,-0.0328,0.1238,-0.0006,0.6040
0.1600,-0.0004,-0.0008,0.0000,-0.0005,-0.0012,-0.0015,0.0000,-0.0007,-0.0011,-0.0007,-0.0013,-0.0008,-0.0009,-0.0009,-1.3936,0.0292,1.3591,-0.5574,1.5913,-0.1733,0.3300,0.2559,0.1497,0.6612
0.1667,-0.0004,-0.0011,-0.0002,-0.0012,-0.0009,-0.0013,-0.0004,-0.0006,-0.0008,-0.0005,-0.0010,-0.0009,-0.0000,-0.0013,-2.4899,-0.0961,1.0778,-1.3712,2.2437,-0.1798,0.2904,0.3206,0.2326,0.1480
0.1733,-0.0000,-0.0010,-0.0006,-0.0015,-0.0006,-0.0010,-0.0009,-0.0006,-0.0006,-0.0004,-0.0007,-0.0009,0.0005,-0.0014,-2.4853,0.0153,0.9493,-1.6412,1.4155,-0.1435,-0.1292,0.2892,0.5268,-0.8404
0.1800,0.0003,-0.0006,-0.0009,-0.0016,-0.0005,-0.0007,-0.0012,-0.0007,-0.0003,-0.0004,-0.0005,-0.0006,0.0004,-0.0010,-1.4289,-0.0383,0.8170,-1.1958,-0.3470,-0.1223,-0.6852,0.1755,1.1652,-1.5814
0.1867,0.0003,-0.0003,-0.0009,-0.0015,-0.0007,-0.0008,-0.0012,-0.0007,-0.0003,-0.0003,-0.0006,-0.0000,-0.0002,-0.0003,-0.2126,-0.3263,0.4838,-0.4252,-1.7975,-0.1364,-1.1449,0.0376,1.9531,-1.2383
0.1933,-0.0000,-0.0004,-0.0005,-0.0012,-0.0010,-0.0010,-0.0009,-0.0007,-0.0005,-0.0001,-0.0006,0.0005,-0.0007,0.0002,0.1944,-0.5426,-0.0302,-0.0057,-2.0358,-0.1583,-1.3784,-0.0474,2.4126,0.2858
0.2000,-0.0002,-0.0006,-0.0002,-0.0009,-0.0010,-0.0010,-0.0006,-0.0006,-0.0007,0.0000,-0.0006,0.0007,-0.0008,0.0000,-0.3785,-0.3902,-0.4211,-0.2698,-1.1051,-0.1637,-1.3266,-0.0358,2.1129,2.0121
0.2067,0.0000,-0.0007,-0.0001,-0.0006,-0.0006,-0.0007,-0.0003,-0.0007,-0.0006,-0.0002,-0.0004,0.0005,-0.0007,-0.0005,-1.2751,0.0393,-0.3605,-0.8365,0.2863,-0.1695,-1.0153,0.0454,1.0451,2.6162
0.2133,0.0006,-0.0005,-0.0002,-0.0003,0.0000,-0.0001,-0.0000,-0.0008,-0.0004,-0.0005,-0.0002,0.0001,-0.0006,-0.0009,-1.7885,0.2944,0.1468,-0.9582,1.3988,-0.2068,-0.5942,0.1216,-0.2913,1.6148
0.2200,0.0009,-0.0001,-0.0003,-0.0001,0.0004,0.0004,0.0002,-0.0008,-0.0001,-0.0005,-0.0003,-0.0001,-0.0007,-0.0009,-1.8093,0.0225,0.6718,-0.2555,1.8471,-0.2708,-0.2746,0.1411,-1.1651,-0.2321
0.2267,0.0008,-0.0000,-0.0003,-0.0001,0.0005,0.0005,0.0005,-0.0005,0.0001,0.0000,-0.0004,-0.0001,-0.0007,-0.0007,-1.6944,-0.6198,0.6898,0.9399,1.6672,-0.3170,-0.1527,0.1234,-1.0960,-1.6958
0.2333,0.0002,-0.0003,0.0001,-0.0002,0.0002,0.0003,0.0007,0.0000,0.0005,0.0009,-0.0006,0.0000,-0.0004,-0.0004,-1.6821,-1.1066,0.0968,1.8932,1.2108,-0.3047,-0.0823,0.1339,-0.2661,-2.1087
0.2400,-0.0003,-0.0006,0.0004,-0.0003,0.0000,0.0002,0.0006,0.0005,0.0007,0.0015,-0.0005,0.0002,0.0002,-0.0003,-1.6230,-1.0682,-0.6027,2.0033,0.8962,-0.2316,0.2083,0.2099,0.5256,-1.6278
0.2467,-0.0003,-0.0008,0.0004,-0.0002,0.0000,0.0001,0.0002,0.0005,0.0007,0.0014,-0.0002,0.0002,0.0007,-0.0002,-1.2907,-0.5796,-0.7447,1.1671,0.8896,-0.1315,0.7909,0.3157,0.4916,-0.7822
