Time (sec),AH1 (g),AH2 (g),AH3 (g),AH4 (g),AH5 (g),AH6 (g),AH7 (g),AH8 (g),AH9 (g),AH10 (g),AH11 (g),AH12 (g),AV1 (g),AV2 (g),P1 (kpa),P2 (kpa),P3 (kpa),P4 (kpa),P6 (kpa),P7 (kpa),P8 (kpa),P9 (kpa),P10 (kpa),
0.1333,-0.0007,-0.0001,0.0000,-0.0006,-0.0000,0.0003,0.0008,-0.0005,0.0004,-0.0002,-0.0003,0.0003,-0.0002,-0.0002,-2.1602,-0.9701,0.2870,1.1093,0.1085,-0.4337,0.3250,-0.8332,-1.3694
0.1400,-0.0009,-0.0000,0.0001,-0.0005,0.0000,0.0005,0.0009,-0.0000,0.0004,-0.0002,-0.0000,0.0006,-0.0003,-0.0004,-1.5674,-0.9815,1.5596,0.6628,-0.0553,-1.7314,0.1632,0.8056,-0.8749
0.1467,-0.0008,0.0002,-0.0000,-0.0005,0.0000,0.0007,0.0007,0.0004,0.0003,-0.0000,0.0001,0.0007,-0.0004,-0.0002,-0.2848,-0.6377,1.8984,-0.3548,-0.2160,-2.5262,0.0465,1.7177,-0.5899
0.1533,-0.0003,0.0004,-0.0002,-0.0005,0.0000,0.0005,0.0002,0.0008,0.0002,0.0003,0.0001,0.0005,-0.0003,0.0002,0.8556,-0.3179,1.0398,-1.5370,-0.3434,-2.4409,0.0374,1.2104,-0.6797
0.1600,0.0002,0.0005,-0.0003,-0.0004,0.0001,0.0000,-0.0004,0.0008,0.0002,0.0004,-0.0001,0.0003,0.0002,0.0004,1.1627,-0.2922,-0.3996,-2.1952,-0.3907,-1.6736,0.1176,-0.2547,-0.9060
0.1667,0.0006,0.0004,-0.0003,0.0000,0.0002,-0.0003,-0.0008,0.0005,0.0001,0.0002,-0.0002,0.0001,0.0005,0.0003,0.5718,-0.6178,-1.5189,-1.8509,-0.3241,-0.7079,0.2376,-1.5166,-0.9555
0.1733,0.0005,0.0001,-0.0001,0.0005,0.0003,-0.0006,-0.0009,0.0001,-0.0002,0.0001,-0.0003,-0.0001,0.0006,-0.0001,-0.3095,-1.1342,-1.8088,-0.6429,-0.1833,0.0475,0.3520,-1.6344,-0.7317
0.1800,0.0002,-0.0001,0.0001,0.0010,0.0003,-0.0008,-0.0009,-0.0003,-0.0003,0.0000,-0.0003,-0.0003,0.0005,-0.0005,-0.6717,-1.5249,-1.3435,0.7196,-0.0692,0.4255,0.4188,-0.5550,-0.3296
0.1867,-0.0003,-0.0003,0.0000,0.0011,0.0001,-0.0008,-0.0007,-0.0005,-0.0003,0.0001,-0.0002,-0.0004,0.0003,-0.0008,-0.1740,-1.5341,-0.5289,1.4323,-0.0564,0.4586,0.4043,0.8130,0.1579
0.1933,-0.0006,-0.0004,-0.0004,0.0009,-0.0001,-0.0006,-0.0004,-0.0006,-0.0003,0.0002,-0.0002,-0.0005,0.0003,-0.0007,0.7760,-1.2432,0.1916,1.1093,-0.1250,0.2795,0.3146,1.2051,0.7099
0.2000,-0.0008,-0.0003,-0.0010,0.0003,-0.0004,-0.0002,-0.0002,-0.0004,-0.0003,0.0001,-0.0003,-0.0005,0.0002,-0.0003,1.4363,-1.0295,0.5012,-0.0271,-0.1812,0.0803,0.2085,0.0224,1.2855
0.2067,-0.0009,-0.0003,-0.0013,-0.0003,-0.0005,-0.0001,-0.0001,-0.0001,-0.0004,-0.0001,-0.0004,-0.0005,0.0002,0.0000,1.4279,-1.0999,0.3250,-1.3248,-0.1413,0.0786,0.1592,-2.0275,1.7475
0.2133,-0.0010,-0.0004,-0.0012,-0.0006,-0.0005,-0.0002,0.0001,0.0000,-0.0004,-0.0001,-0.0005,-0.0007,0.0001,0.0001,0.9908,-1.1226,-0.1438,-2.0683,-0.0076,0.3983,0.1939,-3.3988,1.9164
0.2200,-0.0010,-0.0008,-0.0010,-0.0008,-0.0004,-0.0006,0.0000,-0.0002,-0.0006,0.0001,-0.0005,-0.0010,0.0001,-0.0002,0.6024,-0.5223,-0.6134,-1.8536,0.1241,0.9224,0.2736,-2.9912,1.7173
0.2267,-0.0009,-0.0011,-0.0010,-0.0009,-0.0004,-0.0010,-0.0004,-0.0006,-0.0010,0.0003,-0.0005,-0.0012,0.0003,-0.0004,0.4764,0.7513,-0.9131,-0.8136,0.1390,1.2827,0.3323,-1.0846,1.2841
0.2333,-0.0007,-0.0011,-0.0009,-0.0009,-0.0007,-0.0013,-0.0011,-0.0009,-0.0014,0.0004,-0.0007,-0.0011,0.0005,-0.0003,0.4574,1.8640,-1.0521,0.4540,0.0107,1.0979,0.3324,0.9044,0.8689
0.2400,-0.0008,-0.0008,-0.0008,-0.0009,-0.0010,-0.0013,-0.0016,-0.0009,-0.0017,0.0003,-0.0008,-0.0008,0.0005,0.0001,0.2878,1.7228,-1.1223,1.2616,-0.1582,0.3653,0.2862,1.5675,0.5939
0.2467,-0.0009,-0.0006,-0.0008,-0.0010,-0.0011,-0.0012,-0.0019,-0.0007,-0.0018,0.0001,-0.0007,-0.0005,0.0003,0.0005,-0.0826,0.0574,-1.1504,1.2785,-0.2197,-0.3684,0.2344,0.5723,0.3307
0.2533,-0.0009,-0.0004,-0.0009,-0.0010,-0.0009,-0.0011,-0.0020,-0.0004,-0.0016,-0.0001,-0.0006,-0.0003,-0.0000,0.0007,-0.4213,-2.2001,-1.0007,0.7214,-0.1241,-0.3852,0.2204,-1.1403,-0.0858
0.2600,-0.0007,-0.0003,-0.0012,-0.0010,-0.0005,-0.0012,-0.0017,-0.0002,-0.0011,-0.0002,-0.0005,-0.0003,-0.0003,0.0006,-0.4434,-3.6744,-0.4842,0.1546,0.0260,0.5208,0.2766,-2.1272,-0.5570
0.2667,-0.0006,-0.0005,-0.0013,-0.0011,-0.0002,-0.0011,-0.0010,-0.0000,-0.0007,-0.0003,-0.0004,-0.0003,-0.0004,0.0005,-0.1291,-3.6687,0.3486,0.0530,0.0757,1.7340,0.3981,-1.5873,-0.7837
0.2733,-0.0007,-0.0008,-0.0013,-0.0013,-0.0001,-0.0008,-0.0003,0.0002,-0.0005,-0.0003,-0.0005,-0.0003,-0.0003,0.0003,0.2404,-2.5733,1.0817,0.4462,-0.0312,2.2289,0.5120,0.0013,-0.6589
0.2800,-0.0008,-0.0010,-0.0011,-0.0012,-0.0001,-0.0005,0.0001,0.0003,-0.0005,-0.0003,-0.0004,-0.0004,-0.0001,0.0002,0.3803,-1.3525,1.2317,0.9173,-0.2041,1.3816,0.5018,1.2733,-0.4260
0.2867,-0.0008,-0.0009,-0.0007,-0.0007,-0.0002,-0.0001,0.0003,0.0003,-0.0006,-0.0002,-0.0003,-0.0006,0.0001,0.0000,0.2523,-0.7719,0.7146,0.9914,-0.3008,-0.4463,0.3108,1.1042,-0.3422
0.2933,-0.0005,-0.0005,-0.0003,0.0000,-0.0004,0.0001,0.0003,0.0000,-0.0006,-0.0001,-0.0002,-0.0007,-0.0000,0.0001,-0.0016,-1.0212,-0.0281,0.5943,-0.2522,-2.0414,0.0300,-0.4470,-0.3295
0.3000,-0.0001,-0.0000,0.0001,0.0006,-0.0005,0.0001,0.0003,-0.0003,-0.0006,0.0001,-0.0001,-0.0007,-0.0003,0.0004,-0.2465,-1.7977,-0.4029,0.1246,-0.0991,-2.2215,-0.1554,-2.1853,-0.1080
0.3067,0.0002,0.0005,0.0005,0.0007,-0.0004,-0.0003,0.0000,-0.0005,-0.0004,0.0002,-0.0000,-0.0008,-0.0006,0.0007,-0.3915,-2.5848,-0.1445,0.0614,0.0621,-0.8463,-0.1337,-2.8063,0.3984
0.3133,0.0004,0.0007,0.0006,0.0004,-0.0002,-0.0006,-0.0003,-0.0005,-0.0001,0.0002,0.0000,-0.0008,-0.0005,0.0007,-0.3364,-2.9288,0.5815,0.5206,0.1485,0.9670,0.0281,-2.0033,0.9096
0.3200,0.0002,0.0006,0.0003,-0.0002,-0.0000,-0.0007,-0.0004,-0.0004,-0.0000,0.0001,-0.0000,-0.0009,-0.0005,0.0005,-0.0346,-2.6422,1.4540,1.1725,0.1260,1.7559,0.1638,-0.6462,1.0062
0.3267,-0.0001,0.0002,-0.0002,-0.0007,-0.0001,-0.0006,-0.0004,-0.0003,-0.0002,-0.0002,-0.0002,-0.0008,-0.0005,0.0001,0.3543,-1.8906,2.2495,1.5433,0.0216,0.9802,0.1782,0.0697,0.4744
0.3333,-0.0006,-0.0001,-0.0003,-0.0010,-0.0005,-0.0006,-0.0004,-0.0001,-0.0005,-0.0003,-0.0004,-0.0006,-0.0007,-0.0002,0.4673,-1.1172,2.8107,1.3954,-0.0871,-0.5424,0.1212,-0.3931,-0.4484
0.3400,-0.0010,-0.0004,-0.0002,-0.0009,-0.0007,-0.0007,-0.0004,0.0001,-0.0007,-0.0002,-0.0005,-0.0003,-0.0009,-0.0004,-0.0011,-0.7872,2.8894,0.8600,-0.1212,-1.4082,0.1128,-1.6510,-1.1246
0.3467,-0.0011,-0.0007,-0.0002,-0.0008,-0.0006,-0.0006,-0.0004,0.0002,-0.0007,0.0000,-0.0003,0.0000,-0.0008,-0.0004,-0.9831,-1.0596,2.1976,0.2632,-0.0670,-0.8478,0.2241,-2.8408,-0.9689
0.3533,-0.0010,-0.0008,-0.0005,-0.0006,-0.0002,-0.0004,-0.0005,0.0002,-0.0005,0.0002,-0.0001,0.0001,-0.0005,-0.0003,-1.9541,-1.6374,0.7518,-0.1130,0.0078,0.6834,0.4223,-3.2064,0.0253
0.3600,-0.0006,-0.0006,-0.0009,-0.0005,0.0001,-0.0002,-0.0005,0.0002,-0.0001,0.0003,0.0000,0.0001,0.0001,-0.0000,-2.2018,-1.9684,-0.8540,-0.1359,0.0157,1.9550,0.5936,-2.4442,1.2703
0.3667,-0.0001,-0.0003,-0.0010,-0.0005,0.0001,-0.0000,-0.0002,0.0001,0.0002,0.0001,0.0000,0.0000,0.0006,0.0002,-1.3243,-1.6619,-1.7066,0.1830,-0.0675,1.9484,0.6118,-0.7796,2.1308
0.3733,0.0001,-0.0000,-0.0007,-0.0003,-0.0000,0.0001,0.0002,0.0000,0.0003,-0.0000,-0.0001,-0.0001,0.0008,0.0005,0.3953,-0.7968,-1.2857,0.7158,-0.1828,0.5524,0.4233,1.1273,2.3852
